,Date,SessionTime,DriverAhead,sGapToCarAhead,Time,nEngine,vCar,nGear,rThrottlePedal,pBrakeF1,Source,RelativeDistance,Status,X,Y,Z,sLap,Lap
29430,06:48.7,0 days 01:21:02.433000,63,459.8622309,0 days 00:00:21.083000,8682.138389,79.65681687,1,3.134093964,FALSE,pos,0.335131473,OnTrack,-1327,-239,735,1100.840666,27
29431,06:49.0,0 days 01:21:02.674000,63,470.7741725,0 days 00:00:21.324000,8371.577108,78.01363549,1,6.968183855,FALSE,pos,0.336704405,OnTrack,-1287,-274,731,1106.063245,27
29432,06:49.0,0 days 01:21:02.676000,63,470.8647222,0 days 00:00:21.326000,8369,78,1,7,FALSE,car,0.336717196,OnTrack,-1286.661129,-274.4096442,730.9587886,1106.106578,27
29433,06:49.1,0 days 01:21:02.836000,63,478.4202778,0 days 00:00:21.486000,9026,75,1,18,FALSE,car,0.337732999,OnTrack,-1260.449966,-312.0767452,727.3460313,1109.439912,27
29434,06:49.2,0 days 01:21:02.854000,63,479.2802839,0 days 00:00:21.504000,9053.810198,75.18000128,1,19.17000832,FALSE,pos,0.337848058,OnTrack,-1258,-316,727,1109.815812,27
29435,06:49.3,0 days 01:21:03.036000,63,487.9758333,0 days 00:00:21.686000,9335,77,1,31,FALSE,car,0.339036611,OnTrack,-1241.162044,-346.7202111,724.7691075,1113.708589,27
29436,06:49.6,0 days 01:21:03.276000,63,499.2425,0 days 00:00:21.926000,10256,83,1,45,FALSE,car,0.340722843,OnTrack,-1228.357199,-389.8484308,722.3531234,1119.241923,27
29437,06:49.6,0 days 01:21:03.294000,63,500.0775059,0 days 00:00:21.944000,10308.87538,83.562504,1,45.3375024,FALSE,pos,0.340854462,OnTrack,-1227,-395,722,1119.659735,27
29438,06:49.7,0 days 01:21:03.436000,63,506.6647222,0 days 00:00:22.086000,10726,88,1,48,FALSE,car,0.341914718,OnTrack,-1214.561491,-443.8015049,718.4422291,1123.130846,27
29439,06:49.8,0 days 01:21:03.494000,63,509.3713949,0 days 00:00:22.144000,10881.51284,89.0875024,1,51.625008,FALSE,pos,0.342356742,OnTrack,-1210,-462,717,1124.566145,27
29440,06:49.9,0 days 01:21:03.596000,63,514.1313889,0 days 00:00:22.246000,11155,91,1,58,FALSE,car,0.343147225,OnTrack,-1203.927353,-486.4369032,714.8310218,1127.144478,27
29441,06:50.1,0 days 01:21:03.796000,63,523.2980556,0 days 00:00:22.446000,12332,96,1,67,FALSE,car,0.344772508,OnTrack,-1195.023044,-521.2500606,711.3192548,1132.477812,27
29442,06:50.1,0 days 01:21:03.813000,63,524.0063969,0 days 00:00:22.463000,12287.05574,96.9562608,1,67.4250048,FALSE,pos,0.344919654,OnTrack,-1194,-525,711,1132.935661,27
29443,06:50.4,0 days 01:21:04.113000,63,536.5063969,0 days 00:00:22.763000,11493.93074,113.8312608,1,74.9250048,FALSE,pos,0.347827796,OnTrack,-1169,-611,704,1142.421599,27
29444,06:50.4,0 days 01:21:04.116000,63,536.6313889,0 days 00:00:22.766000,11486,114,1,75,FALSE,car,0.347860547,OnTrack,-1168.713167,-611.9269359,703.9042226,1142.516599,27
29445,06:50.5,0 days 01:21:04.173000,63,538.6105622,0 days 00:00:22.823000,11620.37795,118.1325139,1,76.4250048,FALSE,pos,0.348497809,OnTrack,-1163,-630,702,1144.387031,27
29446,06:50.8,0 days 01:21:04.493000,63,549.7216733,0 days 00:00:23.143000,12374.77795,141.3325139,1,84.4250048,FALSE,pos,0.352422827,OnTrack,-1113,-767,692,1156.949921,27
29447,06:50.8,0 days 01:21:04.516000,63,550.5202778,0 days 00:00:23.166000,12429,143,2,85,FALSE,car,0.352702538,OnTrack,-1109.563626,-775.6871697,691.3892863,1157.863532,27
29448,06:51.0,0 days 01:21:04.676000,63,556.0758333,0 days 00:00:23.326000,13040,143,2,83,TRUE,car,0.354639334,OnTrack,-1088.400128,-826.1792761,687.623383,1164.219087,27
